"","Unknown","Acidaminococcus","Acinetobacter","Actinomyces","Agrobacterium","Akkermansia","Aliivibrio","Alistipes","Alkanindiges","Anaerofilum","Anaerofustis","Anaerostipes","Anaerotruncus","Atopobium","Azospirillum","Bacillus","Bacteroides","Bifidobacterium","Bilophila","Blautia","Bradyrhizobium","Butyricimonas","Campylobacter","Capnocytophaga","cc_115","Clostridium","Collinsella","Coprobacillus","Coprococcus","Corynebacterium","Cryocola","Dehalobacterium","Deinococcus","Desulfovibrio","Devosia","Dialister","Dorea","Eggerthella","Eikenella","Enterococcus","Escherichia","Eubacterium","Faecalibacterium","Fusobacterium","Granulicatella","Haemophilus","HigherGenus","Holdemania","Jeotgalicoccus","Lachnobacterium","Lachnospira","Lactobacillus","Lactococcus","Leptotrichia","Leuconostoc","Lysobacter","Massilia","Megamonas","Mycobacterium","Mycoplana","Neisseria","Odoribacter","Oribacterium","Oscillospira","Oxalobacter","Paenibacillus","Parabacteroides","Paracoccus","Parvimonas","Pediococcus","Phascolarctobacterium","Phenylobacterium","Pleomorphomonas","Prevotella","Propionibacterium","Pseudomonas","Pyramidobacter","Ralstonia","Rhodoferax","Roseburia","Rothia","Rubellimicrobium","Ruminococcus","Sarcina","Slackia","SMB53","Sphingomonas","Staphylococcus","Streptococcus","Succiniclasticum","Sutterella","Turicibacter","Veillonella"
"SC502452","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","2983","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","2549","3353","   0","   0","   0","   0","   0","5443","   0","   0","   0","   0","1085","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","1520","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","3063","   0","   0","   0","   0","   0"
"SC502454"," 218","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 129","1008"," 402","1446","   0","   0","   0","   3","   0","   0","   0"," 420"," 529"," 127","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","1763","4427","   0","   0","2214","   0","   0","1788","   0","   0","   0","   0"," 776","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","1257","1245","   0","   2"," 781","   0","   0","   0","   0","   0","  14"," 258"," 960","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 211","   0","   0","   0","   0","   0"
"SC510683","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","  516","    4","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   56","    0","    0","    0","    0","    0","16942","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    5","    0"," 2461","    0","    0","    0","    8","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"SC510684","    4","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","  574","    7","    0","    0","   16","    0","    0","    0","    0","    0","    0","    0","    0","    6","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   83","    0","   10","    0","    0","    0","16071","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    5","    0"," 3186","    0","    0","    0","    4","    0","    0","   19","    0","    0","    0","    0","    0","    3","    0","    0","    0","    0"
"SC552948","3893","   0","   0","   0","   0","3318","  55","   7","   0","   3","   1","  21","   0","   0","   0","   9","3211","  76","  76"," 403","   0","   0","   0","   0","  12","  20","   5","   0"," 225","   0","   3","   0","   0","   0","   0"," 297","  48","   0","   0","  11","  40","  76","1682","   0","   0","   0","2748","   8","   0","  80","  95","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","  24","   0"," 364","   5","   0"," 173","   0","   0","   0","   5","   0","   0"," 205","   0","   3","   0","   0","   0"," 422","   0","   0","1980","   0","   0","   0","   2","  16","  83","  93","  61","   3","   4"
"SC552952","2199","   0","   0","   9","   0"," 466"," 184","   4","   0","   0","   0","  70","   9","   0","   0","   0","8056","   0","   8","1016","   0","   0","   0","   0","   0","   0","   0","   0"," 668","   0","  12","   0","   0","   0","   0","  12"," 157","   0","   0","   0","   8","   6","1424","   0","   0","   4","2549","   5","   0","   9"," 285","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 259","   3","   0","  26","   0","   0","   0"," 121","   0","   0","  22","   0","   0","   0","   0","   0","1180","   0","   0"," 958","   0","   0","   3","   1","   0"," 153","  11","  15","   0","   4"
"SC552954","2399","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 740","   0"," 562","   0","   0","   0","   0","1225","  47","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  12","   0"," 200","1067","   0","   0","   0","   0","1433"," 670","   1","3562","   0","   0","   0","   0","   0","   0","1269","   0","   0","   0","   0","   0","   0","2612","   0","   0","   0","   0","   0","   0","   0"," 945","   0","   0","   0","   0","1367","   0","   0","   0","   0","   0","  13"," 251","   0","   0","   0","  94","   0","   0","   0"," 311","   0","   0","   0","1207"
"SC552959","   12","    0","    0","    0","    0","    5","    0","    0","    0","    0","    0","    0","    0","    0","    0","  214","   57","    0","    0","   18","    0","    0","    0","    0","    0","    0","    1","    0","   18","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   16","    0","   23","    0","    0","    0","18940","    0","    0","    0","    4","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","  610","    0","    0","    0","   29","    0","    0","   33","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0"
"SC552960","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","1690","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","3045","4782","   0","   0","   0","   0","   2","5339","   0","   0","   0","   0"," 887","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","2145","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","2106","   0","   0","   0","   0","   0"
"SC552961","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","  659","    4","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    6","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   15","  158","    0","    6","    0","    0","    0","14119","    0","    0","    0","    0","    5","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    8","    0"," 5008","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    7","    0","    0","    0","    0","    0"
