"","Unknown","Acidaminococcus","Acinetobacter","Actinomyces","Agrobacterium","Akkermansia","Aliivibrio","Alistipes","Alkanindiges","Anaerofilum","Anaerofustis","Anaerostipes","Anaerotruncus","Atopobium","Azospirillum","Bacillus","Bacteroides","Bifidobacterium","Bilophila","Blautia","Bradyrhizobium","Butyricimonas","Campylobacter","Capnocytophaga","cc_115","Clostridium","Collinsella","Coprobacillus","Coprococcus","Corynebacterium","Cryocola","Dehalobacterium","Deinococcus","Desulfovibrio","Devosia","Dialister","Dorea","Eggerthella","Eikenella","Enterococcus","Escherichia","Eubacterium","Faecalibacterium","Fusobacterium","Granulicatella","Haemophilus","HigherGenus","Holdemania","Jeotgalicoccus","Lachnobacterium","Lachnospira","Lactobacillus","Lactococcus","Leptotrichia","Leuconostoc","Lysobacter","Massilia","Megamonas","Mycobacterium","Mycoplana","Neisseria","Odoribacter","Oribacterium","Oscillospira","Oxalobacter","Paenibacillus","Parabacteroides","Paracoccus","Parvimonas","Pediococcus","Phascolarctobacterium","Phenylobacterium","Pleomorphomonas","Prevotella","Propionibacterium","Pseudomonas","Pyramidobacter","Ralstonia","Rhodoferax","Roseburia","Rothia","Rubellimicrobium","Ruminococcus","Sarcina","Slackia","SMB53","Sphingomonas","Staphylococcus","Streptococcus","Succiniclasticum","Sutterella","Turicibacter","Veillonella"
"SC553025","1487","   0","   0","   0","   0","  30","   3","   0","   0","   0","   0","   0","   0","   0","   0"," 986","  62","  83","   0","  20","   0","   0","1524","  38","   0","   0","   0","   0","   9","   0","   0","   0","   0","   0","   0","  39","   0","   0"," 887","   0","   7","   0"," 160","2018"," 846","   0","3241","   0","   0","   0","   5","   4","   0","1574","   0","   0","   0","   0","   0","   0","3387","   0","   0","   4","   0","   0","  12","   0"," 309","   0","   0","   0","   0","1373","   0","   0","   0","   0","   0","  35"," 136","   0","  30","   0","   0","   0","   0","   2"," 289","   0","   6","   0","1363"
"SC553030","  58","   0","   0","   0","   0","  33","   5","   0","   0","   0","   0","   0","   0","   0","   0","1656"," 462","   0","   0","  34","   0","   0","   0","   0","   0","   0","   0","   0","  26","   0","   1","   0","   0","   0","   0","   3","   7","   0","   0","2427","4894","   0","  74","   0","   0","   0","6116","   0","   0","   0","  12","1051","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   6","   0","   0","   0","   3","   0","   0","  24","   0"," 477","   0","   0","   0","  39","   0","   0","  30","   0","   0","   0","   0","2506","   2","   0","   2","   0","   0"
"SC553031"," 881","   0","   0","   0","   0","  83","  93","   0","   0","   0","   0","  38","   0","   0","   0"," 140","5716","   6","   0"," 626","   0","  24","   0","   0","   0","   0","   6","   0"," 346","   0","   0","   0","   0","   0","   0","  18"," 118","   0","   0","  67"," 122","   0","1204","   0","   0","   0","7909","   0","   0","   0"," 183","  32","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  97","   0","   0"," 137","   0","   0","   0","  67","   0","   0"," 365","   0"," 201","   0","   0","   0"," 963","   0","   0"," 369","   0","   0","   0","   0","  36","  83","   0","  10","   0","   2"
"SC553032","1760","   0","   0","   0","   0","  73"," 116","   0","   0","   0","   0","  26","   0","   0","   0"," 116","2371","  71","   0"," 265","   0","   0"," 128","   0","   0","  15","  27","   4"," 382","   0","   5","   0","   0","   0","   0"," 425","  54","   0","  76","   0","   0","   0","2855"," 150","  66","   0","1325","   3","   0","   0"," 226"," 250","   0"," 118","   0","   0","   0","   1","   0","   0"," 272","   0","   0"," 199","   0","   0"," 512","   0","  20","   0","   2","   0","   0","6636","   0","   0","   0","   0","   0"," 598","   9","   0"," 336","   0","   0","  16","   0","   0","  56","   0"," 288","   0","  60"
"SC553033","   9","   0","   0","   0","   0","  23","   0","   0","   0","   0","   0","   0","   0","   0","   0","2942","   3","   0","   0","  69","   0","   0","   0","   0","   0","   0","   0","   0","  35","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","1693","2614","   0"," 121","   0","   0","   0","5753","   0","   0","   0","   0","1511","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0"," 430","   0","   0","   0","  54","   0","   0","  77","   0","   0","   0","   0","4641","   0","   0","   0","   0","   0"
"SC553035","  186","    0","    0","    0","    0","  229","    0","    0","    0","    0","    0","    0","    0","    0","    0","  181","    0","    0","    0","  818","    0","    0","    0","    0","    0","    7","   11","    0","  406","    0","    0","    0","    0","    0","    0","   12","   81","    0","    0","    0","   42","    0","  577","    0","    0","    0","15857","    0","    0","    0","    8","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   23","    0","    0","    0","    0","    0","    0","    6","    0","    0","    0","    0","  310","    0","    0","    0","  486","    0","    0","  676","    0","    0","    0","    0","    2","   39","    0","    0","    0","    0"
"SC553037","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","3082","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","2046","2542","   0","   3","   0","   0","   0","5821","   0","   0","   0","   0","1546","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 936","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","4015","   0","   0","   0","   0","   0"
"SC553039","   31","    0","    0","    0","    0","   29","    0","    0","    0","    0","    0","    1","    0","    0","    0","  237","    0","    0","    0","  118","    0","    0","    0","    0","    0","    0","    0","    0","   96","    0","    0","    0","    0","    0","    0","    1","   16","    0","    0","    0","   45","    0","  135","    0","    0","    0","18259","    0","    0","    0","    0","    9","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","  704","    0","    0","    0","   99","    0","    0","  161","    0","    0","    0","    0","   10","   25","    0","    0","    0","    0"
"SC553041","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","1757","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","2786","4952","   0","   0","   0","   0","   0","5818","   0","   0","   0","   0","1227","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","1190","   0","   0","   0","   0","   0","   0","   8","   0","   0","   0","   0","2252","   0","   0","   0","   0","   0"
"SC553043","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","  694","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","  136","    0","    0","    0","    8","    0","16149","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    4","    0"," 2989","    0","    0","    0","    0","    0","    0","   10","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0"
"SC553045","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","1782","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","2815","4771","   0","   0","   0","   0","   0","6363","   0","   0","   0","   0"," 818","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","1216","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","2229","   0","   0","   0","   0","   0"
"SC553048","    3","    0","    0","    0","    0","    5","    0","    0","    0","    0","    0","    0","    0","    0","    0","  371","    0","    0","    0","   14","    0","    0","    0","    0","    0","    0","    0","    0","   11","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   80","    0","   27","    0","    0","    0","15934","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"," 3506","    0","    0","    0","   11","    0","    0","   26","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0"
"SC553049","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","2643","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","2280","3990","   0","   0","   0","   0","   0","5596","   0","   0","   0","   0","1341","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 671","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","3469","   0","   0","   0","   0","   0"
"SC553051","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","  317","    0","    0","    0","    7","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    3","    0","    0","    0","   98","    0","    0","    0","    0","    0","18036","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"," 1535","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"SC553053"," 215","   0","   0","   0","   0","  22","   0","   0","   0","   0","   0","   9","   0","   0","   0","2709","  78","  38","   1"," 401","   0","   0","   0","   0","   0","  16","  10","   0"," 142","   0","   2","   0","   0","   0","   0","  33","  52","   0","   0","1665","3145","   0"," 373","   0","   0","   0","5029","   0","   0","   0","  30","1414","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","  17","   0","   0","   6","   0","   0","   0","   0","   0","   0","  13","   0"," 920","   0","   0","   0","  79","   0","   0"," 530","   0","   0","   0","   0","2958","  30","   0","   4","   0","   0"
"SC553055","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","  297","    0","    0","    0","   21","    0","    0","    0","    0","    0","    0","    0","    0","   10","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","   58","    0","    8","    0","    0","    0","18601","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","  944","    0","    0","    0","   11","    0","    0","   24","    0","    0","    0","    0","    7","    0","    0","    0","    0","    0"
"SC553057","   2","   0","   0","   0","   0","  19","   0","   0","   0","   0","   0","   0","   0","   0","   0","1858","   4","   0","   0","  25","   0","   0","   0","   0","   0","   0","   0","   0","   7","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","2482","5180","   0","  53","   0","   0","   0","6385","   0","   0","   0","   0","1111","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 563","   0","   0","   0","  14","   0","   0","  23","   0","   0","   0","   0","2256","   3","   0","   0","   0","   0"
"SC553061"," 277","   0","   0","   0","   0","  45","  16","   0","   0","   0","   1","   9","   0","   0","   0","1309"," 203","  28","   8"," 129","   0","   0","   0","   0","   8","   0","   8","   0","  68","   0","   0","   0","   0","   0","   0","  87","  27","   0","   0","2463","4678","  31"," 510","   0","   0","   0","6023","   0","   0","   8","  25"," 938","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","  33","   0","   0","  18","   0","   0","   0","   0","   0","   0","  50","   0"," 332","   0","   0","   0","  66","   0","   0"," 342","   0","   0","   0","   0","2159","  34","   0","   0","   0","   0"
"SC553065","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","4812","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","1985","3549","   0","   0","   0","   0","   0","5465","   0","   0","   0","   0","1116","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","1855","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","1214","   0","   0","   0","   0","   0"
"SC553068","    5","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","  524","    4","    0","    0","    4","    0","    0","    0","    0","    0","    0","    0","    0","    8","    0","    0","    0","    0","    0","    0","    3","    0","    0","    0","    2","   81","    0","    9","    0","    0","    0","16163","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"," 3162","    0","    0","    0","    6","    0","    0","   10","    0","    0","    0","    0","    6","    0","    0","    0","    0","    0"
"SC553083","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","4551","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","2035","3852","   0","   0","   0","   0","   0","5642","   0","   0","   0","   0"," 932","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","1877","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","1101","   0","   0","   0","   0","   0"
"SC553085","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","  338","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   47","    0","    0","    0","    0","    2","17524","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    6","    0"," 2073","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0"
"SC553087","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","5285","   0","   0","   0","   6","   0","   0","   0","   0","   0","   0","   1","   0","   7","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","1863","3264","   0","  30","   0","   0","   0","5653","   0","   0","   0","   0","1198","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","1462","   0","   0","   0","  24","   0","   0","  22","   0","   0","   0","   0","1168","   0","   0","   0","   0","   0"
"SC553089","   10","    0","    0","    0","    0","   11","    0","    0","    0","    0","    0","    0","    0","    0","    0","  493","    6","    0","    0","   78","    0","    0","    0","    0","    0","    1","    3","    0","   54","    0","    0","    0","    0","    0","    0","    0","    6","    0","    0","   24","   54","    0","   98","    0","    0","    0","17599","    0","    0","    0","    2","    9","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    5","    0"," 1324","    0","    0","    0","   85","    0","    0","   97","    0","    0","    0","    0","   13","    3","    0","    0","    0","    0"
"SC553091","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","4054","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","1838","3805","   0","   0","   0","   0","   0","5764","   0","   0","   0","   0","1676","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","1736","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","1116","   4","   0","   0","   0","   0"
"SC553093","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","  540","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   55","    0","    0","    0","    0","    0","17302","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"," 2100","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
