"","Unknown","Acidaminococcus","Actinomyces","Adlercreutzia","Akkermansia","Aliivibrio","Alistipes","Anaerofilum","Anaerofustis","Anaerostipes","Anaerotruncus","Bacillus","Bacteroides","Bifidobacterium","Bilophila","Blautia","Bradyrhizobium","Bulleidia","Butyricimonas","Campylobacter","cc_115","Christensenella","Cloacibacillus","Clostridium","Collinsella","Coprobacillus","Coprococcus","Cryocola","Dehalobacterium","Desulfovibrio","Dialister","Dorea","Eggerthella","Eikenella","Enterococcus","Escherichia","Eubacterium","Faecalibacterium","Finegoldia","Fusobacterium","Granulicatella","Haemophilus","HigherGenus","Holdemania","Lachnobacterium","Lachnospira","Lactobacillus","Lactococcus","Leptotrichia","Leuconostoc","Megamonas","Mogibacterium","Neisseria","Odoribacter","Oscillospira","Oxalobacter","Parabacteroides","Parvimonas","Pediococcus","Phascolarctobacterium","Prevotella","Pseudomonas","Pyramidobacter","Ralstonia","rc4-4","Roseburia","Rothia","Ruminococcus","Sarcina","Sharpea","SMB53","Staphylococcus","Streptococcus","Succiniclasticum","Sutterella","Turicibacter","Veillonella"
"SC552953","1674","   0","   0","   0","   0","  83","   0","   0","   0","  17","   0","   0","2079"," 109","   0"," 277","   0","   0","   0","   0","   0","   0","   0","  17","  37","   0"," 359","   8","   0","   0"," 469","  62","   0","   0","   0","   0","   0","3192","   0","   0","   0","   0","1090","   1","   0"," 200"," 249","   0","   0","   0","   0","   0","   0","   0"," 193","   0"," 478","   0","   0","   0","8106","   0","   0","   0","   0"," 607","   0"," 309","   0","   0","  13","   0","  18","   0"," 298","   0","   0"
"SC552955","1609","   0","   0","   0","1505","   0","   0","   0","   0","  48","   0","   0"," 584","   0","  22","1144","   0","   4","   0","   0","   0","   0","   0","  57","  80","   0","1803","   0","   0","   0","  94"," 178","   0","   0","   0"," 284","   0","4964","   0","   0","   0","   0","2243","  11","   0"," 245","  19","   0","   0","   0","   0","   0","   0","   0"," 130","  26","  57","   4","   0","  35","   3","   0","   0","   0","   0","2029","   0","2290","   0","   6","   0","   0"," 460","   0","   0","   0","   0"
"SC552956","4541","   0","   0","   0","  21"," 189","   0","   2","   1","  39","   7","   0","2581"," 374"," 113"," 462","   0","   0","   0","   0","  36","   0","   0","  19","  54","   0"," 232","   8","   3","   0","1030","  79","   0","   0","   0","   0"," 256","3676","   0","   0","   0","   0","2349","   5","  35"," 188","   2","   0","   0","   0","   0","   0","   0","  75"," 577","   0"," 324","   0","   0","   0"," 554","   0","   0","   0","   0"," 203","   2","1570","   0","   0","   0","   0"," 176","   0"," 100","   0","  10"
"SC552957","2122","   0","   0","   0","2697","   0","   0","   0","   0","  41","   0","   0","1591","   0","  38"," 945","   0","   0","   0","   0","   0","   0","   0","  41","  45","   0","1191","   0","   0","   0"," 217"," 143","   4","   0","   0"," 364","   0","3159","   0","   0","   0","   2","2451","   6","   0"," 183","  12","   1","   0","   0","   0","   0","   0","   3"," 136","  24"," 203","   0","   0","  44","   0","   0","   0","   0","   0","1327","   0","2684","   0","   0","   2","   0"," 240","   0","   1","   0","   1"
"SC552958","3107","   9","   0","   0","1608","  86","   5","   0","   0","  12","  10","   0","4393","  10","  63"," 556","   0","   0","  12","   0","   0","   0","   4","  79","  10","   0"," 340","   3","   0","   9","   0","  84","   0","   0","   9","   0","   0","2338","   0","   0","   0","   0","3018","   0","  12"," 278","   0","   2","   0","   2","   0","   0","   0","  54"," 508","  10"," 287","   0","   0","  98","   0","   0","   0","   0","   0"," 399","   0","2190","   0","   0","   0","   0","   5","   0"," 254","   0","   2"
"SC552963","3322","   0","   0","   0","1382","  77","   4","   0","   0","   6","  18","   0","4520","  18","  64"," 570","   0","   0","  23","   0","   0","   0","   0","  54","  10","   0"," 410","   3","  12","  21","   0","  90","   0","   0","   7","   1","   0","2291","   0","   0","   0","   0","2930","   5","   9"," 325","   3","   0","   0","   0","   0","   0","   0","  52"," 734","   0"," 222","   0","   0","  83","   7","   2","   0","   0","   0"," 387","   0","1953","   0","   0","   0","   0","   0","   0"," 260","   0","   0"
"SC552964","7336","   0","   0","   0","3283","   0","  27","   5","   4","   0","   0","   0","3936","   0","  36"," 103","   0","   0","  12","   0","   0","   0","   0","  15","   0","   0","  49","   0","   0","   0","   0","   9","   0","   0","   0","   9","  15","  10","   0","   0","   0","   0","3833","  10"," 131","   4","   0","   0","   0","   0","   0","   0","   0","   0","  97","   0"," 150","   0","   0","   3","   2","   0","   2","   0","   0"," 160","   0"," 626","   0","   0","   0","   0","   0","  25","  58","   0","   0"
"SC552967","1681","   0","   0","   0","   0","  88","   0","   0","   0","  22","   0","   0","1697"," 153","   0"," 478","   0","   0","   0","   0","   0","   0","   0","  21","  73","   0"," 584","  11","   0","   0"," 490","  90","   0","   0","   0","   0","   0","2873","   0","   0","   0","   3","1341","   4","   0"," 208"," 210","   0","   0","   0","   0","   0","   0","   0"," 279","   0"," 420","   0","   0","   0","7836","   0","   0","   0","   0"," 738","   0"," 344","   0","   0","  22","   5","  27","   0"," 240","   0","   0"
"SC552969","1912","   0","   0","   0"," 935","   0","   0","   0","   0","  32","   0","   0"," 702","   0","  10","1839","   0","   0","   0","   0","   0","   0","   0","  40","  59","   0","1974","   0","   0","   0","  87"," 258","   3","   0","   0"," 105","   0","4172","   0","   0","   0","   1","3161","  17","   0","  44","  11","   2","   0","   0","   0","   0","   0","   0"," 197","   3","  65","   0","   0","   6","   0","   0","   0","   0","   0","1571","   0","2499","   0","   0","   5","   0"," 220","   0","   0","   0","   0"
"SC552970","4197","   0","   0","   0","   0"," 135","   0","   3","   1","  50","   0","   4","2200"," 295"," 105"," 620","   0","   0","   0","   0","  49","   0","   0","  19","  92","   0"," 367","  14","   4","   0"," 838","  88","   0","   0","   0","   3"," 228","4175","   0","   0","   0","   0","2555","   6","  37"," 211","   6","   0","   0","   0","   0","   0","   0","  65"," 608","   0"," 231","   0","   0","   0"," 544","   0","   0","   0","   0"," 234","   0","1636","   0","   0","   0","   0"," 156","   0","  90","   3","   7"
