"","Unknown","Acidaminococcus","Actinomyces","Adlercreutzia","Akkermansia","Aliivibrio","Alistipes","Anaerofilum","Anaerofustis","Anaerostipes","Anaerotruncus","Bacillus","Bacteroides","Bifidobacterium","Bilophila","Blautia","Bradyrhizobium","Bulleidia","Butyricimonas","Campylobacter","cc_115","Christensenella","Cloacibacillus","Clostridium","Collinsella","Coprobacillus","Coprococcus","Cryocola","Dehalobacterium","Desulfovibrio","Dialister","Dorea","Eggerthella","Eikenella","Enterococcus","Escherichia","Eubacterium","Faecalibacterium","Finegoldia","Fusobacterium","Granulicatella","Haemophilus","HigherGenus","Holdemania","Lachnobacterium","Lachnospira","Lactobacillus","Lactococcus","Leptotrichia","Leuconostoc","Megamonas","Mogibacterium","Neisseria","Odoribacter","Oscillospira","Oxalobacter","Parabacteroides","Parvimonas","Pediococcus","Phascolarctobacterium","Prevotella","Pseudomonas","Pyramidobacter","Ralstonia","rc4-4","Roseburia","Rothia","Ruminococcus","Sarcina","Sharpea","SMB53","Staphylococcus","Streptococcus","Succiniclasticum","Sutterella","Turicibacter","Veillonella"
"SC553042","2544","   0","   0","   1","2256","   0","   0","   0","   0","  21","   0","   0"," 375","   0","  15","1578","   0","   0","   0","   0","   0","   0","   0","  31","  13","   0","1576","   0","   0","   0"," 333"," 244","   0","   0","   0"," 262","   4","2792","   0","   0","   0","   0","3106","  18","   0","  61","  19","   1","   0","   0","   0","   0","   0","   0"," 138","  22","  43","   0","   0","  21","   0","   1","   0","   0","   0","1048","   0","2794","   0","   0","   9","   0"," 578","   0","   0","   0","   1"
"SC553046","1057","   0","   0","   0","1001","   0","   0","   0","   0","  42","   0","   3","  70","   0","   9","2549","   0","   0","   0","   0","   0","   0","   0","  75"," 172","   0","1889","   0","   0","   0","  60"," 236","   5","   0","   0"," 193","   5","3406","   1","   0","   5","   0","2914","   6","   0","  35","  17","   6","   0","   0","   0","   0","   0","   0"," 130","   5","   8","   0","   0","   4","   0","   0","   0","   0","   0","2087","   0","3531","   0","   0","   3","   3"," 400","   0","   0","   0","   0"
"SC553050","1059","   0","   0","   0","1749","   0","   0","   0","   0","  20","   0","   0","  66","   0","  16","3141","   0","   0","   0","   0","   0","   0","   0","  42","  60","   0","1697","   0","   0","   0","  55"," 306","   2","   0","   0"," 293","   0","3879","   0","   0","   0","   0","2892","   5","   0","  49","  11","   0","   0","   0","   0","   0","   0","   0"," 122","  13","   6","   0","   0","  13","   0","   0","   0","   0","   0","1949","   0","2290","   0","   0","   5","   0"," 194","   0","   0","   0","   0"
"SC553054"," 883","   0","   0","   0"," 463","   0","   0","   0","   0","  40","   0","   0","  38","   2","   0","5178","   0","   0","   0","   0","   0","   0","   0","  42","  25","   0","1864","   0","   0","   0","  57"," 347","   0","   0","   0","  91","   0","2510","   0","   0","   0","   0","2507","   0","   0","  32","   9","   0","   0","   0","   0","   0","   0","   0"," 108","   6","   3","   0","   0","  15","   0","   0","   0","   0","   0","2441","   0","2596","   0","   0","  12","   0"," 671","   0","   0","   6","   0"
"SC553066","1227","   0","   0","   0"," 949","   0","   0","   0","   0","  35","   0","   0","  43","   0","   4","3007","   0","   0","   0","   0","   0","   0","   0","  43"," 286","   6","1920","   0","   0","   0","  79"," 269","   0","   0","   0"," 189","   6","3094","   0","   0","   5","   0","2992","  10","   0","  23","   0","   0","   0","   0","   0","   0","   0","   0"," 118","   8","   8","   0","   0","  13","   0","   0","   0","   0","   0","2200","   0","3166","   0","   0","   0","   3"," 237","   0","   0","   0","   0"
"SC553069"," 840","   0","   1","   8"," 920","   0","   0","   0","   0","  17","   0","   0","  36","   0","   4","2753","   0","   0","   0","   0","   0","   0","   0","  40"," 176","  10","1505","   0","   0","   0","  29"," 207","   3","   0","   0"," 269","   6","4954","   0","   0","   0","   2","2753","   8","   0","   6","   3","   0","   0","   0","   0","   0","   0","   0","  87","   6","   0","   0","   0","   0","   0","   0","   0","   0","   0","2843","   0","2417","   0","   0","   0","   4","  37","   0","   0","   0","   0"
"SC553070"," 739","   0","   1","   0"," 863","   0","   0","   0","   0","  13","   0","   7","  38","   0","   4","3094","   0","   0","   0","   0","   0","   0","   0","  29"," 140","   0","1627","   0","   0","   0","  28"," 228","   7","   0","   0"," 286","   0","4540","   0","   0","   0","   0","2760","   0","   0","   8","   7","   0","   0","   0","   0","   0","   0","   0"," 122","   8","   8","   0","   0","   2","   2","  12","   0","   0","   0","3017","   0","2314","   0","   0","   0","   4","  34","   0","   0","   0","   0"
"SC553071"," 942","   0","   0","  23"," 925","   0","   0","   0","   0","  19","   0","   0","  34","   0","   3","2922","   0","   0","   0","   0","   0","   0","   0","  43"," 196","   6","1580","   0","   0","   0","  35"," 242","   3","   0","   0"," 239","   0","4726","   0","   0","   0","   0","2948","  10","   0","   8","   3","   0","   0","   0","   0","   0","   0","   0","  90","   7","   0","   0","   0","   4","   0","   0","   0","   0","   0","2478","   0","2381","   0","   0","   0","   0","  63","   0","   0","   0","   0"
"SC553072","1082","   0","   3","  24"," 643","   0","   0","   0","   0","  23","   0","   0","   8","   0","   3","2694","   0","   0","   0","   0","   0","   0","   0","  41"," 324","   0","2111","   0","   0","   0","  49"," 235","   0","   0","   0"," 163","   9","4029","   0","   0","   0","   0","3038","   0","   0","   6","   3","   1","   0","   0","   0","   0","   0","   0"," 102","   3","   3","   0","   0","   2","   0","   0","   0","   0","   0","2222","   0","3036","   0","   0","   0","   0","  82","   0","   0","   0","   0"
"SC553073"," 827","   0","   0","  15"," 890","   0","   0","   0","   0","  12","   0","   0","  53","   0","   8","2823","   0","   0","   0","   0","   0","   0","   0","  40"," 150","   6","1534","   0","   0","   0","  42"," 213","   5","   0","   0"," 264","   4","5588","   0","   0","   0","   0","2775","   9","   4","   9","   5","   0","   0","   0","   0","   0","   0","   0"," 104","   0","   3","   0","   0","   3","   0","   0","   0","   0","   0","2306","   0","2202","   0","   0","   0","   3","  44","   0","   0","   0","   0"
"SC553074"," 956","   0","   0","   0"," 976","   0","   0","   0","   0","  18","   0","   0","  50","   0","   5","2561","   0","   0","   0","   0","   0","   0","   0","  37"," 111","   0","1523","   0","   0","   0","  35"," 227","   0","   0","   0"," 199","   0","5106","   0","   0","   0","   0","2767","  13","   0","  25","   0","   0","   0","   0","   0","   0","   0","   0"," 138","  10","   5","   0","   0","   8","   0","   0","   0","   0","   0","2636","   0","2495","   0","   0","   0","   0","  32","   0","   0","   0","   0"
"SC553075"," 788","   0","   0","   0"," 762","   0","   0","   0","   0","  21","   0","   0","  47","   0","   8","2797","   0","   0","   0","   0","   0","   0","   0","  36"," 108","   0","1520","   0","   0","   0","  29"," 143","   0","   0","   0"," 233","   4","5472","   0","   0","   0","   0","2959","  14","   0","  19","   4","   0","   0","   0","   0","   0","   0","   0"," 139","   7","   6","   0","   0","   3","   0","   0","   0","   0","   0","2455","   0","2335","   0","   0","   0","   5","  25","   0","   0","   0","   0"
"SC553076"," 923","   0","   0","   4"," 715","   0","   0","   0","   0","  24","   0","   3","  51","   0","   4","2882","   0","   0","   0","   0","   0","   0","   0","  53","  37","   5","1338","   0","   0","   0","  40"," 222","   0","   0","   0"," 260","   5","5023","   0","   0","   0","   0","2769","   9","   0","  19","   0","   0","   0","   0","   0","   0","   0","   0"," 139","   5","   4","   0","   0","  19","   0","   0","   0","   0","   0","3109","   0","2215","   0","   0","   4","   0","  59","   0","   0","   0","   0"
"SC553077"," 916","   0","   0","   0"," 752","   0","   0","   0","   0","  22","   0","   0","  26","   0","   5","2591","   0","   0","   0","   0","   0","   0","   0","  51"," 164","   7","1637","   0","   0","   0","  41"," 157","   0","   0","   0"," 187","   5","5090","   0","   0","   0","   0","2839","  14","   0","  27","   3","   0","   0","   0","   0","   0","   0","   0"," 117","   5","   5","   0","   0","   3","   0","   0","   0","   0","   0","2981","   0","2263","   0","   0","   0","   0","  31","   0","   0","   0","   0"
"SC553078"," 814","   0","   0","   4"," 530","   0","   0","   0","   0","  30","   0","   0","  18","   0","   4","2808","   0","   0","   0","   0","   0","   0","   0","  42"," 136","   7","1334","   0","   0","   0","  27"," 239","   0","   0","   0"," 129","   5","5144","   0","   0","   0","   0","3005","  12","   0","  25","   3","   0","   0","   0","   0","   0","   0","   0"," 134","   5","   3","   0","   0","   8","   0","   0","   0","   0","   0","2832","   0","2615","   0","   0","   0","   0","  26","   0","   0","   0","   0"
"SC553084"," 943","   0","   5","  43"," 775","   0","   0","   0","   0","  35","   0","   0","  67","   2","   0","2832","   0","   0","   0","   0","   0","   0","   0","  28"," 295","  11","1664","   0","   0","   0","  61"," 219","   8","   0","   0"," 154","   4","3902","   0","   0","   0","   0","2865","   7","   0","  40","   8","   0","   0","   0","   0","   0","   0","   0"," 146","   0","  10","   0","   0","  13","   0","   0","   0","   0","   0","2562","   0","3119","   0","   0","   0","   0"," 113","   0","   0","   0","   0"
