"","Group.1","SC249442","SC249443-PC04924-D-09","SC249445-PC04924-E-09","SC249446","SC249447-PC04924-G-09","SC249448-PC04924-H-09","SC249449-PC04924-A-10","SC249451-PC04924-C-10","SC249452","SC249453-PC04924-E-10","SC249445-PC04925-B-05","SC249447-PC04925-C-05","SC249448-PC04925-A-11","SC249448-PC04925-D-05","SC249449-PC04925-E-05","SC249453-PC04925-F-05","SC253181-PC04925-G-05","SC253182-PC04925-H-05","SC253183-PC04925-A-06","SC253184-PC04925-B-06","SC253185","SC253186-PC04925-D-06","SC253188","SC253189","SC253190-PC04925-G-06","SC253190-PC04925-H-06","SC253191","SC253192","SC253193","SC253194","SC253195-PC04925-E-07","SC253196-PC04925-F-07","SC253197-PC04925-G-07","SC253197-PC04925-H-07","SC253199-PC04925-A-08","SC253199-PC04925-B-08","SC253199-PC04925-E-11","SC253200-PC04925-C-08","SC253201-PC04925-D-08","SC253201-PC04925-E-08","SC253203-PC04925-G-08","SC253203-PC04925-H-08","SC253204","SC249443-PC07578-E-05","SC249448","SC249451-PC07578-F-06","SC249453","SC253181-PC07578-G-05","SC253182-PC07578-A-01","SC253183-PC07578-D-08","SC253184-PC07578-G-06","SC253186-PC07578-D-06","SC253195-PC07578-E-07","SC253196-PC07578-F-07","SC253200-PC07578-C-08","SC253201","SC253202-PC07578-F-08","SC552962","SC553006","SC553008","SC553010","SC553015","SC555351"
"55","g__Megamonas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"56","g__Mogibacterium",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57","g__Neisseria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,8,0,0,44,0,0
"58","g__Odoribacter",0,0,0,0,0,0,0,0,0,2,1,0,3,2,0,2,0,0,4,4,0,0,10,0,3,3,10,0,0,0,0,0,3,3,6,7,4,0,5,5,5,4,0,0,1,0,1,0,0,3,7,0,0,0,0,5,6,36,24,0,0,59,0
"59","g__Oscillospira",0,17,243,73,119,281,246,0,93,278,248,150,314,312,227,306,0,117,577,416,0,85,510,0,426,369,250,0,118,0,6,1,439,401,369,385,429,91,453,456,303,328,14,14,310,0,299,0,106,608,497,110,29,0,98,463,366,649,1162,92,106,95,0
"60","g__Oxalobacter",0,0,10,0,3,23,12,0,0,13,19,5,27,17,13,12,0,0,36,34,0,0,39,0,31,30,34,0,0,0,0,0,30,25,25,30,32,0,27,27,28,31,0,0,19,0,10,0,0,35,31,0,0,0,1,25,15,3,73,0,0,5,0
"61","g__Paenibacillus",0,271,0,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,937,0,0,0,0,0,0,904,0,0,879,0,0,0,0,0,0,0,0,0,0,0,876,308,0,0,0,0,0,0,0,0,656,0,0,0,0,0,0,0,0,0,0
"62","g__Parabacteroides",1,1738,79,1044,33,145,89,0,25,97,82,36,151,135,81,104,0,172,163,195,2374,158,305,0,192,217,341,2744,92,0,2452,3,155,136,190,213,210,112,229,208,193,195,2253,1549,146,0,101,0,169,196,221,161,2286,1,138,230,191,234,565,53,432,367,0
"63","g__Parvimonas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
"64","g__Pediococcus",0,1820,0,1112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,0,0,0,0,0,0,731,0,0,609,0,0,0,0,0,0,0,0,0,0,0,828,1666,0,0,0,0,3,0,0,0,568,0,0,0,1,0,0,0,0,0,0
